GROUP,SURVEY,SP,ID,PURPOSE,FIRST,TICKET,WHO,LUGGAGE,AGE,MALE,INCOME,GA,ORIGIN,DEST,TRAIN_AV,CAR_AV,SM_AV,TRAIN_TT,TRAIN_CO,TRAIN_HE,SM_TT,SM_CO,SM_HE,SM_SEATS,CAR_TT,CAR_CO,CHOICE
2,0,1,1,1,0,1,1,0,3,0,2,0,2,1,1,1,1,130,36,60,63,42,20,0,90,84,2
2,0,1,2,1,0,1,1,1,2,0,1,0,22,1,1,0,1,170,62,30,70,66,10,0,0,0,2
2,0,1,3,1,0,1,1,1,2,1,2,0,10,25,1,1,1,58,29,30,25,38,20,0,136,50,2
2,0,1,4,1,0,1,1,1,2,1,3,0,19,2,1,1,1,116,36,30,61,42,10,1,108,100,2
2,0,1,5,1,0,1,1,1,2,1,3,0,21,17,1,0,1,320,70,60,220,74,30,0,0,0,2
2,0,1,6,1,0,1,1,1,3,0,3,0,9,17,1,1,1,95,29,120,46,35,20,0,70,45,2
2,0,1,7,1,0,1,1,1,3,1,1,0,1,2,1,1,1,101,35,60,29,43,10,0,72,140,2
2,0,1,8,1,0,1,1,1,4,1,3,0,1,17,1,1,1,109,20,120,53,32,10,0,100,24,3
2,0,1,9,1,0,1,1,1,2,1,2,0,17,1,1,1,1,116,22,30,46,32,20,0,78,40,2
2,0,1,10,1,0,1,2,1,2,0,1,0,2,1,1,0,1,131,31,120,66,40,20,1,0,0,2
2,0,1,11,1,0,1,2,1,2,1,2,0,17,19,1,0,1,93,29,60,45,40,30,1,0,0,2
2,0,1,12,1,0,1,2,1,3,0,2,0,1,2,1,0,1,117,36,60,62,50,30,0,0,0,2
2,0,1,13,1,0,1,2,1,3,1,1,0,1,17,1,0,1,129,31,60,93,34,20,1,0,0,1
2,0,1,14,1,0,1,2,1,3,1,2,0,1,17,1,1,1,153,26,60,74,32,10,0,56,100,2
2,0,1,15,1,0,1,2,1,3,1,2,0,17,1,1,0,1,97,22,120,48,26,30,0,0,0,2
2,0,1,16,1,0,1,2,1,3,1,2,0,25,1,1,1,1,208,74,30,71,80,30,0,152,130,2
2,0,1,17,1,0,2,1,0,1,1,2,0,1,2,1,1,1,112,21,30,57,24,10,1,72,25,2
2,0,1,18,1,0,2,1,0,3,1,3,0,2,25,1,1,1,186,24,30,95,27,10,0,110,32,2
2,0,1,19,1,0,2,1,1,1,0,1,0,1,17,1,1,1,159,26,60,124,28,10,1,1200,8,2
2,0,1,20,1,0,2,2,1,2,0,1,0,1,2,1,1,1,179,23,120,103,28,20,1,88,24,3
2,0,1,21,1,0,3,1,0,2,1,4,0,25,2,1,0,1,122,80,30,57,106,20,0,0,0,2
2,0,1,22,1,0,3,2,0,5,1,3,0,22,2,1,1,1,108,52,120,39,80,10,1,91,58,1
2,0,1,23,1,0,3,2,1,2,1,2,0,15,1,1,1,1,116,40,60,49,50,20,0,60,65,2
2,0,1,24,1,0,3,2,1,3,1,2,0,17,2,1,0,1,164,88,120,66,103,30,0,0,0,2
2,0,1,25,1,0,3,2,1,3,1,3,0,2,17,1,1,1,179,119,120,66,139,20,0,182,90,3
2,0,1,26,1,0,4,2,0,3,1,2,0,25,1,1,1,1,233,74,120,67,104,10,1,247,71,2
2,0,1,27,1,0,4,2,1,2,1,2,0,22,2,1,0,1,86,27,120,28,41,10,0,0,0,2
2,0,1,28,1,0,5,1,1,5,1,1,0,25,23,1,0,1,108,45,60,68,60,20,0,0,0,2
